1	5.43733
1	5.44
1	5.44089
1	5.43911
1	5.43851
2	5.15644
2	5.15822
2	5.14044
2	5.13067
2	5.14067
4	4.81333
4	4.78844
4	4.84356
4	4.82844
4	4.83834
8	4.41511
8	4.408
8	4.44622
8	4.41422
8	4.42642
10	4.31556
10	4.26311
10	4.31022
10	4.34311
10	4.33867
16	4.04978
16	3.99111
16	4.00267
16	4.02578
16	4.02978
21	3.87733
21	3.86222
21	3.83822
21	3.84711
21	3.86667
27	3.68622
27	3.68267
27	3.65867
27	3.71733
27	3.65422
32	3.56089
32	3.53689
32	3.53244
32	3.54044
32	3.54678
47	3.25511
47	3.24889
47	3.26667
47	3.27022
47	3.264
64	3.03378
64	3.03733
64	3.05156
64	2.98044
64	3.02044
72	2.912
72	2.89689
72	2.90311
72	2.91556
72	2.928
128	2.34844
128	2.30844
128	2.32978
128	2.344
128	2.33
200	1.77511
200	1.81511
200	1.78133
200	1.83467
200	1.824
